City,State,2010 Actual,2020 Estimate,2016 Land Area (sq mi),Population Change,Population Density 2010,Population Density 2020
New York City,New York,8175133,8253213,301.5,0.955091495,27114.86899,27373.8408
Los Angeles,California,3792621,3970219,468.7,4.682724691,8091.787924,8470.704075
Chicago,Illinois,2695598,2677643,227.3,-0.666085967,11859.2081,11780.21557
Houston,Texas,2100263,2316120,637.5,10.27761761,3294.530196,3633.129412
Philadelphia,Pennsylvania,1526006,1578487,134.2,3.439108365,11371.13264,11762.19821
Phoenix,Arizona,1445632,1708127,517.6,18.15780226,2792.952087,3300.090804
San Antonio,Texas,1327407,1567118,461,18.05859092,2879.407809,3399.388286
San Diego,California,1307402,1422420,325.2,8.797447151,4020.301353,4373.98524
Dallas,Texas,1197816,1343266,340.9,12.14293347,3513.687298,3940.352009
San Jose,California,945942,1013616,177.5,7.154138414,5329.250704,5710.512676
